"Deep Learning,Convolution Neural Networks,Object Detection Networks,MLP,Digital Image Processing,PCBA Inspection,AOI",Using Machine  Vi Sion and Deep Learning for Automatic Pcb Assembly Inspection (Ii-Ii)
"Tremor detection, home healthcare, deep learning, face identification, video processing",The Vision-Based Analysis System Using Deep Learning for Early Tremor Detection and Home Healthcare
"Artificial Intelligence, AI in Healthcare, AI Black Box, AI Deep Learning, Civil Liability","A Study of Civil Liability on Artificial Intelligence in Healthcare－Focus on the Legal Systems in the United States, the European Union and Taiwan"
"Deep Learning, Neutral Network, Channel State Information (CSI), Activity Recognition.",Realization of End-To-End Deep Learning in Indoor Positioning and Activity Recognition
"Privacy concern, deep learning model, sensitive information",A Deep Learning Model for Predicting Inpatients' Privacy Concern Behavior
"Deep Learning, Botnet, Data Cleansing, Big Data, NetFlow",Using Data Cleansing to Promote the Performance of Deep Learning for P2p Botnet Detection
"Artificial Intelligence, Deep Learning, Sentencing Prediction, Charge Classification, Multi-Objective Optimization",Ai-Based Criminal Law Sentencing Prediction Technology and System
"Multi-task model, advanced driver assistance system (ADAS), instance segmentation, semantic scene segmentation, monocular depth estimation, deep learning network",A New Multi-Task Deep Learning Network Applied to Advanced Driver Assistance System
"multi-exposure image fusion, multi-focus image fusion, deep neural network, attention network, image alignment, dilated attention ResNet, tone mapping, morphology operation, Gaussian filtering",Multi-Exposure and Multi-Focus Image Fusion by Deep Neural Networks
"deep learning, earthquake, earthquake location, graphic processing units",Automated Earthquake Monitoring Using Machine Learning 1
"lymphoma lesion, whole-body diffusion-weighted magnetic resonance imaging, deep learning, automatic segmentation",A Deep-Learning Approach to Automatic Segmentation of Lymphoma Lesions in Whole-Body Diffusion-Weighted Mr Imaging
"large-scaled cortex-like mapping, convolutional cortex-like neural networks, grid-structured filters, cubic convolution, deep learning, interactive dynamics of unsupervised learning and supervised learning, generative sub-grids, convolutional cortex-like hidden layers, stacked convolutional responses, minimal wiring and maximal fitting, four-dimensional convolutional filters, Kullback-Leibler dive","Deep Convolutional Cortex-Like Neural Networks:  Architecture, Deep Learning and Applications"
"optimal water source allocation, pest detection, Deep learning, Crop damage assessment",Application of Deep Learning in Water Resources and Smart Agriculture
"COVID-19,Deep Learning",Developing Deep Learning Model for Covid-19 and Multiple Lung Diseases
"Taiwan Sign Language, Automatic Translation, Sign Language Training, Deep Learning",Using Deep Learning Techniques for Common Taiwan Sign Language Translation
"Deep learning, transfer learning, anomaly detection, fracture",Deep Learning for Detecting Fractures
"smart water meter, data analytics for water supply, deep learning, edge computing",Value-Added AI-Driven Services for Smart Water Meter Systems
"Photovoltaic Module , Electroluminescence, Defects , Machine vision, Deep learning",Application of Artificial Intelligence in Developing a Machine Vision Detection System for Defects in Photovoltaic Module Manufacturing
"Driving behavior analysis, fuel consumption driving, On Board Diagnostic II, Controller Area Network Bus, driving information, deep learning",Development of energy-saving driving behavior analysis system based on deep learning
"Deep learning,Smart Surveillance,Object recognition,Convolution Neural Network,Real-time,Embedded system",Specific object recognition system using deep learning technology
"Unmanned Underwater Vehicle, Underwater Image Restoration, Localization and Navigation, Cooperative Localization, Deep Learning, Sonar Signals",Localization and Navigation of Unmanned Underwater Vehicles Using Multiple Sensors
"Artificial intelligence, Deep learning, Edge computing, Face Recognition, Facial Landmark, Human machine interface, Access control system",Deep learning-based face recognition for access control on edge computing platform with weak and high computational capabilities
"Deep learning, edge computing, flame detection",Research on Deep Learning Edge Computing to Flame Development Detection
"lithium-ion battery pack,Automated production line,Data integration,Defect detection,Deep Learning",Data Integration and Intelligent system construction for Lithium Ion Battery Production Line
"deep learning, ingredient recognition, image analysis, telemedicine, cloud web hosting, personal nutritional blueprint",Ingredient recognition via deep learning for dietary tracking supporting system
"Fall Detection, Internet of Things (IoT), Artificial Intelligence (AI), Edge Computing, Deep Learning",Research and Implementation of an Artificial Intelligence Edge Computing Fall Detection System for Elderly People
"textile coil defect detection, deep learning,  data argumentation,  ResNet50, network re-training",Deep-learning based textile defect detection system
"Construction site management, Image recognition, Deep learning, Artificial Intelligence, AI",Development of a Smart Vision-based Construction Site Monitoring System with Automatic Reporting(1/3)
